ProductKey,ProductAlternateKey,Product Name,Price,Color,Product Model Name,Size,Product Description,Product Line,Product Status,Product Category,Product Subcategory
34,GP-0982,Guide Pulley,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
35,GT-0820,LL Grip Tape,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
36,GT-1209,ML Grip Tape,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
37,GT-2908,HL Grip Tape,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
38,HJ-1213,Thin-Jam Hex Nut 9,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
39,HJ-1220,Thin-Jam Hex Nut 10,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
40,HJ-1420,Thin-Jam Hex Nut 1,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
41,HJ-1428,Thin-Jam Hex Nut 2,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
42,HJ-3410,Thin-Jam Hex Nut 15,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
43,HJ-3416,Thin-Jam Hex Nut 16,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
44,HJ-3816,Thin-Jam Hex Nut 5,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
45,HJ-3824,Thin-Jam Hex Nut 6,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
46,HJ-5161,Thin-Jam Hex Nut 3,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
47,HJ-5162,Thin-Jam Hex Nut 4,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
48,HJ-5811,Thin-Jam Hex Nut 13,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
49,HJ-5818,Thin-Jam Hex Nut 14,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
50,HJ-7161,Thin-Jam Hex Nut 7,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
51,HJ-7162,Thin-Jam Hex Nut 8,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
52,HJ-9080,Thin-Jam Hex Nut 12,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
53,HJ-9161,Thin-Jam Hex Nut 11,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
54,HN-1024,Hex Nut 5,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
55,HN-1032,Hex Nut 6,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
56,HN-1213,Hex Nut 16,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
57,HN-1220,Hex Nut 17,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
58,HN-1224,Hex Nut 7,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
59,HN-1420,Hex Nut 8,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
60,HN-1428,Hex Nut 9,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
61,HN-3410,Hex Nut 22,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
62,HN-3416,Hex Nut 23,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
63,HN-3816,Hex Nut 12,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
64,HN-3824,Hex Nut 13,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
65,HN-4402,Hex Nut 1,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
66,HN-5161,Hex Nut 10,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
67,HN-5162,Hex Nut 11,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
68,HN-5400,Hex Nut 2,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
69,HN-5811,Hex Nut 20,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
70,HN-5818,Hex Nut 21,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
71,HN-6320,Hex Nut 3,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
72,HN-7161,Hex Nut 14,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
73,HN-7162,Hex Nut 15,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
74,HN-8320,Hex Nut 4,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
75,HN-9161,Hex Nut 18,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
76,HN-9168,Hex Nut 19,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
77,HT-2981,Handlebar Tube,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
78,HT-8019,Head Tube,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
79,HU-6280,LL Hub,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
80,HU-8998,HL Hub,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
81,KW-4091,Keyed Washer,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
82,LE-1000,External Lock Washer 3,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
83,LE-1200,External Lock Washer 4,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
84,LE-1201,External Lock Washer 9,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
85,LE-1400,External Lock Washer 5,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
86,LE-3800,External Lock Washer 7,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
87,LE-5160,External Lock Washer 6,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
88,LE-6000,External Lock Washer 1,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
89,LE-7160,External Lock Washer 8,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
90,LE-8000,External Lock Washer 2,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
91,LI-1000,Internal Lock Washer 3,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
92,LI-1200,Internal Lock Washer 4,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
93,LI-1201,Internal Lock Washer 9,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
94,LI-1400,Internal Lock Washer 5,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
95,LI-3800,Internal Lock Washer 7,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
96,LI-5160,Internal Lock Washer 6,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
97,LI-5800,Internal Lock Washer 10,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
98,LI-6000,Internal Lock Washer 1,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
99,LI-7160,Internal Lock Washer 8,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
100,LI-8000,Internal Lock Washer 2,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
101,LJ-1213,Thin-Jam Lock Nut 9,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
102,LJ-1220,Thin-Jam Lock Nut 10,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
103,LJ-1420,Thin-Jam Lock Nut 1,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
104,LJ-1428,Thin-Jam Lock Nut 2,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
105,LJ-3410,Thin-Jam Lock Nut 15,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
106,LJ-3416,Thin-Jam Lock Nut 16,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
107,LJ-3816,Thin-Jam Lock Nut 5,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
108,LJ-3824,Thin-Jam Lock Nut 6,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
109,LJ-5161,Thin-Jam Lock Nut 3,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
110,LJ-5162,Thin-Jam Lock Nut 4,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
111,LJ-5811,Thin-Jam Lock Nut 13,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
112,LJ-5818,Thin-Jam Lock Nut 14,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
113,LJ-7161,Thin-Jam Lock Nut 7,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
114,LJ-7162,Thin-Jam Lock Nut 8,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
115,LJ-9080,Thin-Jam Lock Nut 12,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
116,LJ-9161,Thin-Jam Lock Nut 11,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
117,LN-1024,Lock Nut 5,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
118,LN-1032,Lock Nut 6,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
119,LN-1213,Lock Nut 16,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
120,LN-1220,Lock Nut 17,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
121,LN-1224,Lock Nut 7,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
122,LN-1420,Lock Nut 8,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
123,LN-1428,Lock Nut 9,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
124,LN-3410,Lock Nut 22,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
125,LN-3416,Lock Nut 23,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
126,LN-3816,Lock Nut 12,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
127,LN-3824,Lock Nut 13,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
128,LN-4400,Lock Nut 1,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
129,LN-5161,Lock Nut 10,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
130,LN-5162,Lock Nut 11,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
131,LN-5400,Lock Nut 2,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
132,LN-5811,Lock Nut 20,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
133,LN-5818,Lock Nut 21,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
134,LN-6320,Lock Nut 3,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
135,LN-7161,Lock Nut 14,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
136,LN-7162,Lock Nut 15,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
137,LN-8320,Lock Nut 4,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
138,LN-9080,Lock Nut 19,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
139,LN-9161,Lock Nut 18,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
140,LR-2398,Lock Ring,NULL,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
141,LR-8520,Lower Head Race,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
142,LW-1000,Lock Washer 4,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
143,LW-1200,Lock Washer 5,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
144,LW-1201,Lock Washer 10,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
145,LW-1400,Lock Washer 6,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
146,LW-3400,Lock Washer 13,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
147,LW-3800,Lock Washer 8,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
148,LW-4000,Lock Washer 1,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
149,LW-5160,Lock Washer 7,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
150,LW-5800,Lock Washer 12,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
151,LW-6000,Lock Washer 2,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
152,LW-7160,Lock Washer 9,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
153,LW-8000,Lock Washer 3,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
154,LW-9160,Lock Washer 11,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
155,MA-7075,Metal Angle,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
156,MB-2024,Metal Bar 1,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
157,MB-6061,Metal Bar 2,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
158,MP-2066,Metal Plate 2,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
159,MP-2503,Metal Plate 1,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
160,MP-4960,Metal Plate 3,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
161,MS-0253,Metal Sheet 2,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
162,MS-1256,Metal Sheet 3,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
163,MS-1981,Metal Sheet 7,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
164,MS-2259,Metal Sheet 4,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
165,MS-2341,Metal Sheet 5,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
166,MS-2348,Metal Sheet 6,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
167,MS-6061,Metal Sheet 1,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
168,MT-1000,Metal Tread Plate,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
169,NI-4127,LL Nipple,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
170,NI-9522,HL Nipple,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
171,PA-187B,Paint - Black,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
172,PA-361R,Paint - Red,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
173,PA-529S,Paint - Silver,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
174,PA-632U,Paint - Blue,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
175,PA-823Y,Paint - Yellow,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
176,PB-6109,Pinch Bolt,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
177,RA-2345,Cup-Shaped Race,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
178,RA-7490,Cone-Shaped Race,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
179,RF-9198,Reflector,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
180,RM-M464,LL Mountain Rim,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
181,RM-M692,ML Mountain Rim,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
182,RM-M823,HL Mountain Rim,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
183,RM-R436,LL Road Rim,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
184,RM-R600,ML Road Rim,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
185,RM-R800,HL Road Rim,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
186,RM-T801,Touring Rim,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
187,SA-M198,LL Mountain Seat Assembly,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
188,SA-M237,ML Mountain Seat Assembly,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
189,SA-M687,HL Mountain Seat Assembly,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
190,SA-R127,LL Road Seat Assembly,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
191,SA-R430,ML Road Seat Assembly,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
192,SA-R522,HL Road Seat Assembly,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
193,SA-T467,LL Touring Seat Assembly,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
194,SA-T612,ML Touring Seat Assembly,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
195,SA-T872,HL Touring Seat Assembly,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
196,SD-2342,LL Spindle/Axle,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
197,SD-9872,HL Spindle/Axle,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
198,SH-4562,LL Shell,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
199,SH-9312,HL Shell,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
200,SK-9283,Spokes,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
201,SL-0931,Seat Lug,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
202,SM-9087,Stem,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
203,SP-2981,Seat Post,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
204,SR-2098,Steerer,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
205,SS-2985,Seat Stays,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
206,ST-9828,Seat Tube,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
207,TO-2301,Top Tube,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
208,TP-0923,Tension Pulley,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
209,RC-0291,Rear Derailleur Cage,NULL,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
210,FR-R92B-58,"HL Road Frame - Black, 58",NULL,Black,HL Road Frame,58,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,"R ",Current,Components,Road Frames
211,FR-R92R-58,"HL Road Frame - Red, 58",NULL,Red,HL Road Frame,58,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,"R ",Current,Components,Road Frames
212,HL-U509-R,"Sport-100 Helmet, Red",33.6442,Red,Sport-100,NULL,"Universal fit, well-vented, lightweight , snap-on visor.","S ",Outdate,Accessories,Helmets
213,HL-U509-R,"Sport-100 Helmet, Red",33.6442,Red,Sport-100,NULL,"Universal fit, well-vented, lightweight , snap-on visor.","S ",Outdate,Accessories,Helmets
214,HL-U509-R,"Sport-100 Helmet, Red",34.99,Red,Sport-100,NULL,"Universal fit, well-vented, lightweight , snap-on visor.","S ",Current,Accessories,Helmets
215,HL-U509,"Sport-100 Helmet, Black",33.6442,Black,Sport-100,NULL,"Universal fit, well-vented, lightweight , snap-on visor.","S ",Outdate,Accessories,Helmets
216,HL-U509,"Sport-100 Helmet, Black",33.6442,Black,Sport-100,NULL,"Universal fit, well-vented, lightweight , snap-on visor.","S ",Outdate,Accessories,Helmets
217,HL-U509,"Sport-100 Helmet, Black",34.99,Black,Sport-100,NULL,"Universal fit, well-vented, lightweight , snap-on visor.","S ",Current,Accessories,Helmets
218,SO-B909-M,"Mountain Bike Socks, M",9.50,White,Mountain Bike Socks,M,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,"M ",Outdate,Clothing,Socks
219,SO-B909-L,"Mountain Bike Socks, L",9.50,White,Mountain Bike Socks,L,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,"M ",Outdate,Clothing,Socks
220,HL-U509-B,"Sport-100 Helmet, Blue",33.6442,Blue,Sport-100,NULL,"Universal fit, well-vented, lightweight , snap-on visor.","S ",Outdate,Accessories,Helmets
221,HL-U509-B,"Sport-100 Helmet, Blue",33.6442,Blue,Sport-100,NULL,"Universal fit, well-vented, lightweight , snap-on visor.","S ",Outdate,Accessories,Helmets
222,HL-U509-B,"Sport-100 Helmet, Blue",34.99,Blue,Sport-100,NULL,"Universal fit, well-vented, lightweight , snap-on visor.","S ",Current,Accessories,Helmets
223,CA-1098,AWC Logo Cap,8.6442,Multi,Cycling Cap,NULL,Traditional style with a flip-up brim; one-size fits all.,"S ",Outdate,Clothing,Caps
224,CA-1098,AWC Logo Cap,8.6442,Multi,Cycling Cap,NULL,Traditional style with a flip-up brim; one-size fits all.,"S ",Outdate,Clothing,Caps
225,CA-1098,AWC Logo Cap,8.99,Multi,Cycling Cap,NULL,Traditional style with a flip-up brim; one-size fits all.,"S ",Current,Clothing,Caps
226,LJ-0192-S,"Long-Sleeve Logo Jersey, S",48.0673,Multi,Long-Sleeve Logo Jersey,S,Unisex long-sleeve AWC logo microfiber cycling jersey,"S ",Outdate,Clothing,Jerseys
227,LJ-0192-S,"Long-Sleeve Logo Jersey, S",48.0673,Multi,Long-Sleeve Logo Jersey,S,Unisex long-sleeve AWC logo microfiber cycling jersey,"S ",Outdate,Clothing,Jerseys
228,LJ-0192-S,"Long-Sleeve Logo Jersey, S",49.99,Multi,Long-Sleeve Logo Jersey,S,Unisex long-sleeve AWC logo microfiber cycling jersey,"S ",Current,Clothing,Jerseys
229,LJ-0192-M,"Long-Sleeve Logo Jersey, M",48.0673,Multi,Long-Sleeve Logo Jersey,M,Unisex long-sleeve AWC logo microfiber cycling jersey,"S ",Outdate,Clothing,Jerseys
230,LJ-0192-M,"Long-Sleeve Logo Jersey, M",48.0673,Multi,Long-Sleeve Logo Jersey,M,Unisex long-sleeve AWC logo microfiber cycling jersey,"S ",Outdate,Clothing,Jerseys
231,LJ-0192-M,"Long-Sleeve Logo Jersey, M",49.99,Multi,Long-Sleeve Logo Jersey,M,Unisex long-sleeve AWC logo microfiber cycling jersey,"S ",Current,Clothing,Jerseys
232,LJ-0192-L,"Long-Sleeve Logo Jersey, L",48.0673,Multi,Long-Sleeve Logo Jersey,L,Unisex long-sleeve AWC logo microfiber cycling jersey,"S ",Outdate,Clothing,Jerseys
233,LJ-0192-L,"Long-Sleeve Logo Jersey, L",48.0673,Multi,Long-Sleeve Logo Jersey,L,Unisex long-sleeve AWC logo microfiber cycling jersey,"S ",Outdate,Clothing,Jerseys
234,LJ-0192-L,"Long-Sleeve Logo Jersey, L",49.99,Multi,Long-Sleeve Logo Jersey,L,Unisex long-sleeve AWC logo microfiber cycling jersey,"S ",Current,Clothing,Jerseys
235,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",48.0673,Multi,Long-Sleeve Logo Jersey,XL,Unisex long-sleeve AWC logo microfiber cycling jersey,"S ",Outdate,Clothing,Jerseys
236,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",48.0673,Multi,Long-Sleeve Logo Jersey,XL,Unisex long-sleeve AWC logo microfiber cycling jersey,"S ",Outdate,Clothing,Jerseys
237,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",49.99,Multi,Long-Sleeve Logo Jersey,XL,Unisex long-sleeve AWC logo microfiber cycling jersey,"S ",Current,Clothing,Jerseys
238,FR-R92R-62,"HL Road Frame - Red, 62",1263.4598,Red,HL Road Frame,62,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,"R ",Outdate,Components,Road Frames
239,FR-R92R-62,"HL Road Frame - Red, 62",1301.3636,Red,HL Road Frame,62,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,"R ",Outdate,Components,Road Frames
